#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A67B3C
#Date Time: 2024-10-23 16:13:44.745
#Sample rate: 1.42857e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 5 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.0001812103143850166,0.0005654449865404186
0.0001812803143850166,0.0008990131540578637
0.0001813503143850167,0.0002318768190229734
0.0001814203143850166,0.0002318768190229734
0.0001814903143850166,-0.0007688276835293622
0.0001815603143850167,-0.000435259516011917
0.0001816303143850166,-0.001102395851046807
0.0001817003143850166,-0.001102395851046807
0.0001817703143850167,-0.001102395851046807
0.0001818403143850166,-0.002103100353599143
0.0001819103143850166,-0.002436668521116588
0.0001819803143850167,-0.002436668521116588
0.0001820503143850166,-0.003437373023668924
0.0001821203143850166,-0.003437373023668924
0.0001821903143850167,-0.003437373023668924
0.0001822603143850166,-0.003103804856151479
0.0001823303143850166,-0.003103804856151479
0.0001824003143850167,-0.003437373023668924
0.0001824703143850166,-0.003103804856151479
0.0001825403143850166,-0.003437373023668924
0.0001826103143850167,-0.003437373023668924
0.0001826803143850166,-0.003437373023668924
0.0001827503143850166,-0.003103804856151479
0.0001828203143850167,-0.003103804856151479
0.0001828903143850166,-0.003103804856151479
0.0001829603143850166,-0.002103100353599143
0.0001830303143850167,-0.001435964018564253
0.0001831003143850166,-0.001435964018564253
0.0001831703143850166,-0.0007688276835293622
0.0001832403143850167,-0.0007688276835293622
0.0001833103143850166,-0.0007688276835293622
0.0001833803143850166,-0.0001016913484944718
0.0001834503143850167,0.0002318768190229734
0.0001835203143850166,0.0002318768190229734
0.0001835903143850166,0.001566149489092754
0.0001836603143850166,0.001899717656610199
0.0001837303143850166,0.0008990131540578637
0.0001838003143850166,0.001566149489092754
0.0001838703143850166,0.001232581321575309
0.0001839403143850166,0.001232581321575309
0.0001840103143850166,0.0002318768190229734
0.0001840803143850166,0.0005654449865404186
0.0001841503143850166,0.0002318768190229734
0.0001842203143850166,0.0002318768190229734
0.0001842903143850166,-0.0007688276835293622
0.0001843603143850166,-0.001102395851046807
0.0001844303143850166,-0.0007688276835293622
0.0001845003143850166,-0.001435964018564253
0.0001845703143850166,-0.001769532186081698
0.0001846403143850166,-0.001769532186081698
0.0001847103143850166,-0.003103804856151479
0.0001847803143850166,-0.003103804856151479
0.0001848503143850166,-0.004104509358703814
0.0001849203143850166,-0.003770941191186369
0.0001849903143850166,-0.003770941191186369
0.0001850603143850166,-0.004104509358703814
0.0001851303143850166,-0.003770941191186369
0.0001852003143850166,-0.00443807752622126
0.0001852703143850166,-0.004104509358703814
0.0001853403143850166,-0.004104509358703814
0.0001854103143850166,-0.003770941191186369
0.0001854803143850166,-0.003770941191186369
0.0001855503143850166,-0.003103804856151479
0.0001856203143850166,-0.003103804856151479
0.0001856903143850166,-0.002770236688634033
0.0001857603143850166,-0.002436668521116588
0.0001858303143850166,-0.001769532186081698
0.0001859003143850166,-0.001769532186081698
0.0001859703143850166,-0.0007688276835293622
0.0001860403143850166,-0.0007688276835293622
0.0001861103143850166,-0.000435259516011917
0.0001861803143850166,-0.000435259516011917
0.0001862503143850166,0.0005654449865404186
0.0001863203143850166,0.0008990131540578637
0.0001863903143850166,0.001232581321575309
0.0001864603143850166,0.0005654449865404186
0.0001865303143850166,0.0008990131540578637
0.0001866003143850166,0.0008990131540578637
0.0001866703143850166,0.0005654449865404186
0.0001867403143850166,0.001232581321575309
0.0001868103143850166,0.0008990131540578637
0.0001868803143850166,0.0002318768190229734
0.0001869503143850166,0.0002318768190229734
0.0001870203143850166,0.0002318768190229734
0.0001870903143850166,-0.000435259516011917
0.0001871603143850166,-0.000435259516011917
0.0001872303143850166,-0.001102395851046807
0.0001873003143850166,-0.001435964018564253
0.0001873703143850166,-0.001769532186081698
0.0001874403143850166,-0.002770236688634033
0.0001875103143850166,-0.002770236688634033
0.0001875803143850166,-0.002103100353599143
0.0001876503143850166,-0.003103804856151479
0.0001877203143850166,-0.003437373023668924
0.0001877903143850166,-0.004104509358703814
0.0001878603143850166,-0.003103804856151479
0.0001879303143850166,-0.003770941191186369
0.0001880003143850166,-0.003770941191186369
0.0001880703143850166,-0.003437373023668924
0.0001881403143850166,-0.003437373023668924
0.0001882103143850166,-0.003103804856151479
0.0001882803143850166,-0.002436668521116588
